"","Hub","ID","Animal.Sex","Animal.Length..m.","Date","Date.and.Time..UTC."
"1","aquaHub-660298","9001-52031","Male",1.6,2025-09-14,"2025-09-14 4:00"
"2","aquaHub-661034","9001-43287","Female",201,2025-09-14,"2025-09-14 4:52"
"3","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 5:12"
"4","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:12"
"5","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 5:13"
"6","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:14"
"7","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 5:15"
"8","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:16"
"9","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:19"
"10","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 5:24"
"11","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:25"
"12","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 5:26"
"13","aquaHub-660110","9001-43283","Male",168,2025-09-14,"2025-09-14 5:26"
"14","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:26"
"15","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:29"
"16","aquaHub-660273","9001-16713","Female",2.1,2025-09-14,"2025-09-14 5:30"
"17","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:32"
"18","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:34"
"19","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:36"
"20","aquaHub-660298","9001-52022","Male",1.6,2025-09-14,"2025-09-14 5:39"
"21","aquaHub-660110","9001-52043","Male",1.5,2025-09-14,"2025-09-14 5:39"
